TimeStamp; 2017-04-24T11:14:27.951; Match; asge;Distance; 0.614;
TimeStamp; 2017-05-04T19:59:00.308; Match; asge;Distance; 0.753;
TimeStamp; 2017-04-24T10:57:05.626; Match; asge;Distance; 0.6798;
TimeStamp; 2017-04-24T11:02:36.614; Match; asge;Distance; 0.6907;
TimeStamp; 2017-04-24T21:34:46.265; Match; asge;Distance; 0.8089;
TimeStamp; 2017-05-04T19:58:59.024; Match; asge;Distance; 0.7119;
TimeStamp; 2017-04-24T11:07:02.749; Match; asge;Distance; 0.6662;
TimeStamp; 2017-04-24T10:34:55.708; Match; asge;Distance; 0.5643;
TimeStamp; 2017-04-24T10:38:28.523; Match; asge;Distance; 0.6731;
TimeStamp; 2017-04-21T18:55:34.548; Match; asge;Distance; 0.546;
TimeStamp; 2017-04-21T18:57:19.257; Match; asge;Distance; 0.6165;
TimeStamp; 2017-04-24T10:55:41.426; Match; asge;Distance; 0.7072;
TimeStamp; 2017-04-24T10:56:20.116; Match; asge;Distance; 0.7555;
TimeStamp; 2017-04-24T10:41:21.697; Match; asge;Distance; 0.7408;
TimeStamp; 2017-04-24T10:54:30.169; Match; asge;Distance; 0.6692;
TimeStamp; 2017-05-12T14:06:17.353; Match; asge;Distance; 0.4775;
TimeStamp; 2017-04-04T17:05:41.759; Match; asge;Distance; 0.835;
TimeStamp; 2017-04-04T17:06:09.664; Match; asge;Distance; 0.8419;
TimeStamp; 2017-05-12T14:26:02.224; Match; asge;Distance; 0.5487;
TimeStamp; 2017-04-24T21:38:10.619; Match; asge;Distance; 0.84;
TimeStamp; 2017-05-12T14:20:07.271; Match; asge;Distance; 0.4493;
TimeStamp; 2017-04-24T11:32:20.071; Match; asge;Distance; 0.687;
TimeStamp; 2017-04-24T21:32:40.543; Match; asge;Distance; 0.8423;
TimeStamp; 2017-04-24T11:32:39.270; Match; asge;Distance; 0.6342;
TimeStamp; 2017-04-24T11:20:29.348; Match; asge;Distance; 0.7257;
TimeStamp; 2017-04-24T11:32:38.951; Match; asge;Distance; 0.6234;
TimeStamp; 2017-05-12T14:26:04.276; Match; asge;Distance; 0.583;
TimeStamp; 2017-04-24T21:31:36.309; Match; asge;Distance; 0.7487;
